State,SA4,At_least_one_dose_15,Fully_vaccinated_15,date
New South Wales,Coffs Harbour - Grafton,0.529,0.259,2021-08-23
New South Wales,Central West,0.531,0.28,2021-08-23
New South Wales,Central Coast,0.609,0.321,2021-08-23
New South Wales,New England and North West,0.519,0.253,2021-08-23
New South Wales,Sydney - Northern Beaches,0.663,0.358,2021-08-23
New South Wales,Sydney - Outer South West,0.605,0.304,2021-08-23
New South Wales,Sydney - Outer West and Blue Mountains,0.602,0.292,2021-08-23
Queensland,Moreton Bay - North,0.486,0.286,2021-08-23
Queensland,Mackay - Isaac - Whitsunday,0.367,0.171,2021-08-23
Queensland,Logan - Beaudesert,0.369,0.208,2021-08-23
Queensland,Ipswich,0.406,0.238,2021-08-23
Queensland,Gold Coast,0.435,0.272,2021-08-23
Queensland,Central Queensland,0.389,0.225,2021-08-23
Queensland,Darling Downs - Maranoa,0.467,0.257,2021-08-23
Queensland,Cairns,0.49,0.305,2021-08-23
Queensland,Brisbane Inner City,0.52,0.332,2021-08-23
Queensland,Brisbane - West,0.576,0.367,2021-08-23
Queensland,Brisbane - South,0.486,0.302,2021-08-23
Queensland,Brisbane - North,0.521,0.322,2021-08-23
Queensland,Brisbane - East,0.51,0.286,2021-08-23
Northern Territory,Northern Territory - Outback,0.418,0.291,2021-08-23
Northern Territory,Darwin,0.56,0.358,2021-08-23
New South Wales,Sydney - Sutherland,0.678,0.375,2021-08-23
New South Wales,Sydney - South West,0.563,0.264,2021-08-23
New South Wales,Sydney - Ryde,0.636,0.372,2021-08-23
New South Wales,Sydney - Parramatta,0.581,0.285,2021-08-23
Queensland,Queensland - Outback,0.399,0.252,2021-08-23
New South Wales,Sydney - North Sydney and Hornsby,0.685,0.425,2021-08-23
Other Territories,Other Territories,0.617,0.471,2021-08-30
Western Australia,Western Australia - Outback (North),0.256,0.151,2021-08-30
New South Wales,Sydney - Outer South West,0.711,0.358,2021-08-30
New South Wales,Sydney - Outer West and Blue Mountains,0.697,0.341,2021-08-30
New South Wales,Sydney - Parramatta,0.693,0.329,2021-08-30
New South Wales,Sydney - Ryde,0.711,0.422,2021-08-30
New South Wales,Sydney - South West,0.679,0.315,2021-08-30
New South Wales,Sydney - Sutherland,0.741,0.433,2021-08-30
Northern Territory,Darwin,0.595,0.399,2021-08-30
Northern Territory,Northern Territory - Outback,0.446,0.315,2021-08-30
New South Wales,Sydney - Northern Beaches,0.725,0.412,2021-08-30
Queensland,Brisbane - East,0.546,0.326,2021-08-30
Queensland,Brisbane - South,0.527,0.337,2021-08-30
Queensland,Brisbane - West,0.621,0.407,2021-08-30
Queensland,Brisbane Inner City,0.566,0.369,2021-08-30
Queensland,Cairns,0.523,0.338,2021-08-30
Queensland,Darling Downs - Maranoa,0.531,0.288,2021-08-30
Queensland,Central Queensland,0.42,0.255,2021-08-30
Queensland,Gold Coast,0.467,0.302,2021-08-30
Queensland,Ipswich,0.441,0.267,2021-08-30
Queensland,Brisbane - North,0.563,0.358,2021-08-30
New South Wales,Sydney - Inner West,0.687,0.395,2021-08-30
New South Wales,Sydney - Inner South West,0.663,0.314,2021-08-30
New South Wales,Sydney - Eastern Suburbs,0.642,0.411,2021-08-30
Western Australia,Western Australia - Outback (South),0.41,0.241,2021-08-30
Australian Capital Territory,Australian Capital Territory,0.638,0.408,2021-08-30
New South Wales,Capital Region,0.643,0.359,2021-08-30
New South Wales,Central Coast,0.662,0.362,2021-08-30
New South Wales,Central West,0.617,0.32,2021-08-30
New South Wales,Coffs Harbour - Grafton,0.582,0.294,2021-08-30
New South Wales,Far West and Orana,0.654,0.272,2021-08-30
